year,Base case cost,Modeled non-residential ashp
2017,11929009.2828,11504811.1217
2018,13028826.49,12425742.1721
2019,14597206.1981,13755182.5884
2020,15337326.1717,14368301.2515
2021,15848515.3441,14790040.0323
2022,16209437.4497,15080459.5918
2023,16437650.1139,15252460.6274
2024,16606551.2987,15374784.3668
2025,16827359.2063,15544695.1702
2026,17099102.1715,15751916.3639
2027,17326357.2401,15924260.7079
2028,17480926.2669,16033522.7035
2029,17812437.6509,16306080.3244
2030,17962942.9519,16421167.3083
2031,18271532.4773,16666731.9768
