year,Base case cost,Modeled non-residential ashp
2017,290697.285466,375792.710959
2018,313394.257778,395960.972191
2019,344917.830433,424473.576212
2020,359418.673854,436976.272718
2021,369506.217103,445348.206165
2022,377071.874541,451370.709316
2023,382115.646165,455043.160402
2024,386528.946337,458146.921687
2025,392203.189415,462463.369663
2026,398507.903946,467397.935435
2027,403551.675571,471168.084048
2028,407964.975742,474367.253076
2029,413639.21882,478776.87267
2030,417422.047539,481426.467076
2031,423726.76207,486473.450711
