year,Base case cost,Modeled transmission and interties
2021,95556.7820427,867052.774508
2022,98306.9813061,869256.927989
2023,99849.3490684,870415.296647
2024,100808.223352,871279.611832
2025,102654.980212,872696.885159
2026,104760.419181,874555.530767
2027,106575.083901,875946.931022
2028,108101.891837,877087.439787
2029,110552.564448,879024.741804
2030,112313.742264,880554.20818
2031,114637.018799,882394.598062
2032,116940.845551,884219.44465
2033,118796.354814,885669.761829
2034,120612.964511,887296.744457
2035,122039.606067,888357.734085
2036,124970.688308,890720.808038
2037,126107.528103,891529.956216
2038,129027.912964,893884.405811
2039,130671.419596,895345.568381
2040,133353.54462,897512.69596
