year,Base case cost,Modeled non-residential ashp
2017,1644006.59331,1858089.05995
2018,1759380.39234,1965475.90096
2019,1919374.23446,2115609.30593
2020,2009127.16748,2198901.7256
2021,2072374.75926,2257158.00209
2022,2133289.48456,2312494.64357
2023,2183089.5117,2357736.4677
2024,2229451.9402,2399775.01173
2025,2280446.48992,2446381.28668
2026,2336207.30055,2497687.46451
2027,2388469.87209,2545723.81746
2028,2442070.48671,2595324.75116
2029,2499935.15175,2648969.39948
2030,2550517.06002,2695850.90036
2031,2609739.94735,2751001.16022
