year,Base case cost,Modeled residential ashp
2017,610811.096802,752821.521884
2018,660187.501286,797420.988448
2019,726455.833621,857278.167257
2020,757640.931191,885446.251402
2021,779730.375302,905398.644338
2022,795322.924087,919482.686411
2023,807017.335675,930045.717966
2024,828486.34259,950634.762632
2025,839038.977569,960181.72647
2026,853548.850666,973308.801747
2027,865420.565018,984049.136065
2028,874654.120625,992402.729423
2029,899766.001942,1016383.23071
2030,907798.680019,1023661.65543
2031,922525.256493,1037005.43408
