year,Base case cost,Modeled transmission and interties
2021,977828.505216,1790479.10586
2022,1012048.29963,1814412.61161
2023,1033583.90137,1831000.44754
2024,1053015.63819,1843325.44567
2025,1076699.7413,1860146.67516
2026,1104640.67436,1879436.2171
2027,1126238.02319,1896069.45422
2028,1146130.25944,1910757.3638
2029,1172010.47615,1927843.13679
2030,1189412.74214,1940018.67848
2031,1217876.66566,1959681.82329
2032,1248069.50788,1981309.79325
2033,1276602.61791,2003060.99943
2034,1309432.73069,2025267.58139
2035,1329523.59916,2038055.39662
2036,1360301.92288,2062146.5009
2037,1380453.79451,2074976.07687
2038,1413443.11064,2097291.29628
2039,1437930.66995,2116733.6804
2040,1473141.39367,2141370.72672
