year,Base case cost,Modeled non-residential ashp
2017,285383.391198,335105.438342
2018,307130.456229,350410.632906
2019,335930.623433,370679.674357
2020,349449.069263,380193.714221
2021,358853.205493,386812.176736
2022,365906.307665,391776.023621
2023,370608.37578,395085.254879
2024,374134.926866,397567.178321
2025,378836.994981,400876.409579
2026,384714.580124,405012.94865
2027,389416.648239,408322.179907
2028,393530.95784,411217.757257
2029,398820.784469,414940.642422
2030,401759.577041,417008.911958
2031,407637.162184,421145.451029
