year,Base case cost,Modeled residential ashp
2017,12090.4563854,90215.3588963
2018,12960.6944595,87348.7234932
2019,14133.6240377,83941.0520543
2020,14051.8274364,81051.8054694
2021,14413.4796557,79178.7878287
2022,14702.8014311,77478.3822162
2023,14883.6275408,76022.8597514
2024,14333.822423,73971.3416178
2025,14506.2924523,72558.0054985
2026,14747.7504933,71019.914301
2027,14920.2205226,69654.779274
2028,14328.635003,67657.9099619
2029,14525.5717416,66254.1450582
2030,13910.5891969,64278.7694777
2031,14097.4986392,62908.8158822
