year,Base case cost,Modeled residential ashp
2017,439642.416009,648575.211468
2018,488348.850557,656236.449873
2019,559259.720557,673233.526215
2020,593890.610557,678027.490994
2021,613565.783782,675637.408468
2022,631605.453782,675032.637841
2023,641143.778331,669343.573638
2024,647292.842879,662591.876061
2025,660266.842879,660641.150944
2026,671067.466104,655576.33145
2027,680104.660653,649977.443377
2028,685807.275201,643356.743268
2029,700156.965201,642258.871414
2030,704078.528426,635212.689484
2031,715794.282975,630656.650846
