year,annotation,Average Load
2003,,144.0
2004,,156.0
2005,,152.0
2006,,148.0
2007,,142.0
2008,,149.0
2009,,139.0
2010,,149.0
2011,,146.0
2012,,147.0
2013,,143.0
2014,start of forecast,148.0
2015,,148.0
2016,,148.0
2017,,148.0
2018,,148.0
2019,,148.0
2020,,147.0
2021,,147.0
2022,,147.0
2023,,147.0
2024,,147.0
2025,,147.0
2026,,147.0
2027,,147.0
2028,,147.0
2029,,147.0
2030,,146.0
2031,,146.0
2032,,146.0
2033,,146.0
2034,,146.0
2035,,146.0
2036,,146.0
2037,,147.0
2038,,147.0
2039,,147.0
2040,,147.0
