year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,6140.71,408802.0,408802.0
2004,,6140.71,391471.0,391471.0
2005,,6140.71,367030.0,367030.0
2006,,6140.71,387781.0,387781.0
2007,,6140.71,387837.0,387837.0
2008,,6140.71,372982.0,372982.0
2009,,6140.71,397124.0,397124.0
2010,,6140.71,387693.0,387693.0
2011,,6140.71,373406.0,373406.0
2012,,6140.71,369466.0,369466.0
2013,,6140.71,390087.0,390087.0
2014,start of forecast,6140.71,383000.0,383000.0
2015,,6140.71,383000.0,383000.0
2016,,6140.71,384000.0,384000.0
2017,,6140.71,384000.0,384000.0
2018,,6140.71,384000.0,384000.0
2019,,6140.71,384000.0,384000.0
2020,,6140.71,384000.0,384000.0
2021,,6140.71,384000.0,384000.0
2022,,6140.71,384000.0,384000.0
2023,,6140.71,384000.0,384000.0
2024,,6140.71,384000.0,384000.0
2025,,6140.71,384000.0,384000.0
2026,,6140.71,385000.0,385000.0
2027,,6140.71,385000.0,385000.0
2028,,6140.71,385000.0,385000.0
2029,,6140.71,385000.0,385000.0
2030,,6140.71,385000.0,385000.0
2031,,6140.71,385000.0,385000.0
2032,,6140.71,385000.0,385000.0
2033,,6140.71,385000.0,385000.0
2034,,6140.71,385000.0,385000.0
2035,,6140.71,385000.0,385000.0
2036,,6140.71,385000.0,385000.0
2037,,6140.71,385000.0,385000.0
2038,,6140.71,385000.0,385000.0
2039,,6140.71,385000.0,385000.0
2040,,6140.71,385000.0,385000.0
