year,Base case cost,Modeled transmission and interties
2021,362577.369811,2350201.91865
2022,372819.668394,2332904.86755
2023,380265.031594,2313156.1454
2024,386414.87038,2291486.38667
2025,394160.515773,2272371.31656
2026,402372.193185,2255385.50492
2027,409853.97675,2238234.19843
2028,414989.991497,2218972.2362
2029,423513.843466,2204195.81769
2030,428653.574576,2185035.37885
2031,437193.035274,2171411.39685
2032,446773.821103,2158451.72691
2033,455009.283243,2145518.73369
2034,464609.394164,2134704.70281
2035,471130.126055,2119832.82544
2036,480408.399872,2108547.41176
2037,486944.740492,2095745.0949
2038,496587.217959,2085877.90659
2039,504176.776074,2075210.99041
2040,514878.41722,2067462.40628
