year,Base case cost,Modeled non-residential ashp
2017,421304.062015,534483.057161
2018,448137.849172,555500.638488
2019,484810.691619,584979.614046
2020,501805.423485,597670.810102
2021,513433.397919,605814.696717
2022,522377.993638,611705.542855
2023,528639.210641,615342.358468
2024,534005.968073,618254.365232
2025,540267.185076,621970.807479
2026,547422.861651,626490.763142
2027,553684.078654,630283.143266
2028,558156.376514,632581.974236
2029,565312.053089,637211.868617
2030,569784.350948,639581.422244
2031,576940.027523,644280.38172
