year,Base case cost,Modeled residential ashp
2017,1037360.11476,606670.792173
2018,1125699.01671,610882.034722
2019,1260153.90385,629961.846105
2020,1321116.09519,633236.499562
2021,1359246.05312,632908.098915
2022,1379271.55659,624089.833441
2023,1390496.98691,613682.437061
2024,1395855.70181,602215.620078
2025,1403513.14611,590643.885086
2026,1418674.96409,579365.581532
2027,1428022.95233,567080.743067
2028,1431715.76791,553948.026769
2029,1442727.85724,540923.641984
2030,1448035.58056,534213.128245
2031,1460777.8781,520515.304257
