year,Base case cost,Bettles (jane creek)
2021,154186.423819,1027970.88425
2022,158640.172769,1008631.41085
2023,162134.854836,989608.978971
2024,164675.396733,970897.680504
2025,168145.445232,952742.931801
2026,172071.214725,935067.526785
2027,175046.128524,917675.535272
2028,177696.700355,900369.792188
2029,181108.449412,883819.280813
2030,183112.800663,867473.678507
2031,187096.869598,851455.623541
2032,190925.74706,836062.719205
2033,195201.313207,821074.268583
2034,199460.456976,806425.525894
2035,201503.400816,791536.016475
2036,205724.773115,777536.918024
2037,208557.633343,763701.717082
2038,212748.624243,750327.808027
2039,216011.750778,737156.166792
2040,220626.439033,724424.243702
2041,220228.196364,711457.080733
2042,219829.953694,698784.501833
2043,219431.711024,686399.602576
2044,219033.468354,674295.640664
2045,218635.225685,662466.031562
2046,218236.983015,650904.345104
2047,217838.740345,639604.301901
2048,217838.740345,628958.012227
2049,217440.497676,618163.002332
2050,216644.012336,607213.424008
2051,216644.012336,597298.294153
2052,216644.012336,587615.550115
2053,216644.012336,578159.745468
2054,216644.012336,568925.56118
2055,216644.012336,559907.803091
2056,216644.012336,551101.398713
2057,216644.012336,542501.39441
2058,216644.012336,534102.952786
2059,216644.012336,525901.349576
2060,216644.012336,517891.971414
2061,216644.012336,510070.313117
2062,216644.012336,502431.974874
2063,216644.012336,494972.660204
2064,216644.012336,487688.173242
2065,216644.012336,480574.416507
2066,216644.012336,473627.388281
2067,216644.012336,466843.181157
2068,216644.012336,460217.978833
2069,216644.012336,453748.054756
2070,216644.012336,447429.769502
