year,Base case cost,Modeled non-residential ashp
2017,1735880.3002,2126625.10755
2018,1943822.82558,2326597.90649
2019,2229743.79798,2601560.50502
2020,2366206.08026,2732792.65433
2021,2457180.93512,2820280.75386
2022,2535159.38214,2895270.55346
2023,2580646.80957,2939014.60323
2024,2626134.23699,2982758.653
2025,2671621.66442,3026502.70276
2026,2730105.49968,3082745.05246
2027,2782091.13103,3132738.2522
2028,2827578.55846,3176482.30196
2029,2886062.39372,3232724.65166
2030,2918553.41331,3263970.4015
2031,2983535.45249,3326461.90117
