year,Base case cost,Modeled non-residential ashp
2017,274179.27878,416135.352462
2018,291865.036269,435248.113131
2019,315867.135718,461186.859755
2020,327236.551247,473473.634471
2021,335447.795795,482347.416211
2022,341132.50356,488490.803569
2023,344922.308736,492586.395141
2024,348080.479716,495999.388118
2025,351870.284892,500094.97969
2026,356923.35846,505555.768452
2027,360713.163637,509651.360025
2028,363871.334617,513064.353001
2029,368292.773989,517842.543169
2030,371450.944969,521255.536145
2031,375872.384342,526033.726313
