year,Base case diesel consumed,Modeled solar power (pv)
2016,244118.277525,240594.446909
2017,246457.83574,242962.195769
2018,248943.616344,245475.941493
2019,251356.285753,247916.352301
2020,253842.066357,250429.652372
2021,256327.846961,252942.732288
2022,258813.627564,255455.593809
2023,261226.296974,257895.127489
2024,263712.077578,260407.557448
2025,266197.858181,262919.774213
2026,268756.749979,265504.890683
2027,271169.419389,267943.574967
2028,273655.199992,270455.162326
2029,276360.314179,273185.876813
2030,279065.428365,275916.386499
2031,281624.320163,278500.470632
2032,283890.767184,280791.908449
2033,286157.214205,283083.14634
2034,288350.550032,285301.07471
2035,290543.885859,287518.806339
