year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation natural gas [kWh/year],generation diesel [kWh/year]
2003,,6891.29,5250288.0,0.0,5250288.0
2004,,6891.29,5174156.0,0.0,5174156.0
2005,,6891.29,4766589.0,0.0,4766589.0
2006,,6891.29,4856475.0,0.0,4856475.0
2007,,6891.29,6512000.0,5995241.67,516758.33
2008,,6891.29,6397000.0,5880241.67,516758.33
2009,,6891.29,1880989.0,1880989.0,0.0
2010,,6891.29,5581126.0,5581126.0,0.0
2011,,6891.29,5960800.0,4458675.0,1502125.0
2012,,6891.29,6105465.0,4697393.0,1408072.0
2013,,6891.29,6306845.0,6029516.0,277329.0
2014,,6891.29,7014500.0,6004714.0,1009786.0
2015,,6891.29,7012180.0,6749020.0,263160.0
2016,start of forecast,6891.29,6742000.0,6225241.67,516758.33
2017,,6891.29,6779000.0,6262241.67,516758.33
2018,,6891.29,6812000.0,6295241.67,516758.33
2019,,6891.29,6843000.0,6326241.67,516758.33
2020,,6891.29,6873000.0,6356241.67,516758.33
2021,,6891.29,6902000.0,6385241.67,516758.33
2022,,6891.29,6928000.0,6411241.67,516758.33
2023,,6891.29,6953000.0,6436241.67,516758.33
2024,,6891.29,6977000.0,6460241.67,516758.33
2025,,6891.29,7001000.0,6484241.67,516758.33
2026,,6891.29,7024000.0,6507241.67,516758.33
2027,,6891.29,7049000.0,6532241.67,516758.33
2028,,6891.29,7074000.0,6557241.67,516758.33
2029,,6891.29,7096000.0,6579241.67,516758.33
2030,,6891.29,7118000.0,6601241.67,516758.33
2031,,6891.29,7142000.0,6625241.67,516758.33
2032,,6891.29,7170000.0,6653241.67,516758.33
2033,,6891.29,7199000.0,6682241.67,516758.33
2034,,6891.29,7228000.0,6711241.67,516758.33
2035,,6891.29,7257000.0,6740241.67,516758.33
2036,,6891.29,7285000.0,6768241.67,516758.33
2037,,6891.29,7312000.0,6795241.67,516758.33
2038,,6891.29,7341000.0,6824241.67,516758.33
2039,,6891.29,7371000.0,6854241.67,516758.33
2040,,6891.29,7402000.0,6885241.67,516758.33
