year,Base case cost,Modeled residential ashp
2017,268682.239423,190709.36189
2018,296584.354523,215062.449262
2019,326582.394219,240117.200337
2020,344190.51023,255443.798523
2021,358995.387389,268600.912809
2022,371477.386505,279942.153012
2023,382833.367317,290410.876892
2024,392992.488389,299936.243012
2025,403962.563645,310145.812327
2026,416483.705833,321652.946592
2027,428477.259588,332759.243415
2028,446299.242444,349947.471321
2029,452220.144418,354854.365371
2030,469703.449343,371830.666336
2031,483169.144038,384282.353109
