year,Base case cost,Modeled non-residential ashp
2017,878649.722215,1024071.36428
2018,945605.449977,1068349.58153
2019,1034276.5489,1127932.58203
2020,1075897.67697,1154555.25399
2021,1104851.50519,1172347.95093
2022,1126566.87636,1185119.53618
2023,1141043.79047,1192868.62062
2024,1151901.47605,1198134.03821
2025,1166378.39016,1205994.84527
2026,1184474.5328,1216449.74805
2027,1198951.44691,1224417.1021
2028,1211618.74676,1231165.76889
2029,1227905.27513,1240504.82933
2030,1236953.34645,1244812.5352
2031,1255049.48909,1255518.59483
