year,Base case cost,Modeled non-residential ashp
2017,446295.95357,622174.222192
2018,497441.138373,666486.80344
2019,569509.353323,729581.49757
2020,603218.679671,758341.93271
2021,627628.881509,778804.327338
2022,645064.739964,793050.851439
2023,657851.036165,803163.693585
2024,668312.551238,811225.060473
2025,679936.456875,820358.657708
2026,695047.534204,832646.726994
2027,707833.830404,842881.158575
2028,718295.345478,851061.265147
2029,733406.422806,863435.262685
2030,741543.156752,869587.683792
2031,756654.23408,882015.662703
