year,Base case cost,Modeled non-residential ashp
2017,448120.330458,568730.447592
2018,474172.916581,589598.925016
2019,509604.433708,618844.586172
2020,526278.088827,631493.174062
2021,537741.226721,639567.525108
2022,546078.05428,644916.311358
2023,552330.67495,648463.305953
2024,557541.192174,651132.30906
2025,562751.709399,653847.14724
2026,570046.433513,658456.599448
2027,576299.054183,662184.836793
2028,581509.571407,665030.834774
2029,587762.192077,668843.446111
2030,591930.605856,670846.913967
2031,599225.329971,675664.917232
