year,Base case cost,Modeled non-residential ashp
2017,2068219.44504,2333741.38227
2018,2191387.65564,2451810.95836
2019,2343663.22311,2598600.86872
2020,2419683.0837,2670250.41508
2021,2468750.54841,2715353.03222
2022,2519059.75564,2761894.47991
2023,2546201.79444,2785493.49049
2024,2565922.12914,2801834.72347
2025,2593023.37914,2825542.04721
2026,2622577.73444,2851744.91947
2027,2649678.87444,2875594.3279
2028,2671830.84504,2894622.16902
2029,2698909.85564,2918585.05549
2030,2716166.78034,2932909.27421
2031,2748183.85564,2961880.55636
