year,Base case cost,Modeled non-residential ashp
2017,87979.7712663,332743.271187
2018,98436.383425,324910.93213
2019,112859.296747,316688.627061
2020,119349.607742,309693.315659
2021,124037.054572,303086.767606
2022,127642.782903,296767.415033
2023,130166.792734,290731.979793
2024,131969.656899,284928.154276
2025,134493.666731,279156.390528
2026,137378.249395,273462.740902
2027,139541.686394,267991.539734
2028,141705.123392,262641.664115
2029,144589.706057,257312.060232
2030,146031.997389,252294.583159
2031,148916.580053,247193.678039
