year,Base case cost,Modeled transmission and interties
2021,523506.147675,2591873.44859
2022,541384.792678,2608108.29545
2023,554973.256522,2620741.85465
2024,567186.573375,2632009.62368
2025,579503.936659,2643372.56715
2026,596466.973071,2658653.75532
2027,610540.986926,2671732.72687
2028,621673.955007,2682569.48434
2029,637513.289969,2696706.66497
2030,648845.680375,2707055.03006
2031,664936.460877,2722095.55555
2032,682731.868735,2738126.75455
2033,699911.668545,2753572.62695
2034,717216.324072,2769129.67275
2035,728299.003045,2779918.20448
2036,745825.624291,2796373.76593
2037,759497.32528,2808273.63516
2038,778106.029404,2825739.57749
2039,792781.77845,2839356.63005
2040,812429.212773,2857166.86524
