year,Base case cost,Modeled residential ashp
2017,63653.4252944,94132.8136543
2018,68771.9166479,99536.2696155
2019,76108.4209213,107281.22316
2020,79520.7484903,110883.527134
2021,72602.5858423,104107.84679
2022,74111.7465566,105711.995707
2023,75319.075128,106995.31484
2024,76224.5715566,107957.804191
2025,77431.900128,109241.123324
2026,68505.0238582,100399.736437
2027,69423.534209,101384.738529
2028,70342.0445599,102369.740622
2029,71391.7706751,103495.457299
2030,61230.8202949,93382.0010202
2031,62345.9748687,94592.1437967
