year,Base case cost,Modeled transmission and interties
2021,241156.744937,2320627.61892
2022,249437.073326,2295490.87163
2023,255742.798553,2269710.31833
2024,261416.387379,2244014.33336
2025,267456.253156,2219373.47637
2026,275329.972974,2196685.07608
2027,281871.926258,2173956.13104
2028,286723.243905,2150848.65024
2029,294417.529171,2129921.34481
2030,300042.555435,2108163.25433
2031,307528.59785,2088954.14351
2032,315445.941665,2070157.86406
2033,323422.548267,2052005.15961
2034,331832.102457,2034822.88301
2035,336997.842116,2016277.32968
2036,345531.683541,2001001.85664
2037,351522.163662,1983025.73265
2038,360184.407794,1968933.10715
2039,367421.052645,1953895.1835
2040,376565.630021,1940651.89157
