year,Base case cost,Modeled non-residential ashp
2017,210404.356714,242878.226013
2018,224135.569815,255139.35186
2019,242296.206497,271669.176336
2020,250712.111301,278875.317073
2021,256913.304314,283977.976788
2022,261342.727895,287401.427239
2023,264443.324401,289569.95132
2024,267100.97855,291332.589177
2025,270201.575057,293538.391567
2026,273745.113921,296186.926812
2027,276845.710428,298428.280569
2028,279503.364576,300262.041159
2029,283046.903441,302962.045734
2030,285261.615232,304404.169718
2031,288805.154096,307136.508072
