year,Base case cost,Modeled transmission and interties
2021,189283.171472,1709937.3204
2022,193454.582407,1713834.60737
2023,196065.914454,1716740.10356
2024,198142.019436,1718667.33338
2025,200688.548207,1721036.36092
2026,203537.492269,1723674.37414
2027,206000.816832,1725965.26058
2028,207940.114896,1727764.00841
2029,210968.268021,1730577.83909
2030,210819.460496,1730846.07342
2031,213734.007876,1733550.20602
2032,216590.952343,1736200.24095
2033,219390.293897,1738796.17819
2034,222980.875461,1742143.47209
2035,223883.321095,1742949.67778
2036,226516.254235,1745824.36835
2037,227711.514675,1746910.83007
2038,230642.062864,1749636.00066
2039,232664.565136,1751499.36517
2040,235538.310453,1754162.17316
