year,Base case cost,Modeled transmission and interties
2021,364695.112872,2643237.79129
2022,376163.512648,2661333.26373
2023,384867.158835,2673446.14252
2024,391739.786672,2684084.38368
2025,399268.552784,2695580.85857
2026,409564.876494,2712032.48237
2027,417061.396495,2723478.83315
2028,423917.200272,2734091.0321
2029,434200.905939,2748469.83829
2030,439374.303882,2756664.19279
2031,449645.391506,2773075.49398
2032,459351.471169,2787602.4637
2033,469032.314745,2803114.17966
2034,479824.948177,2819154.08599
2035,487182.669696,2829368.70516
2036,497923.428948,2845332.30246
2037,504104.868387,2854918.48305
2038,514795.155465,2871822.72609
2039,523197.370606,2884507.72661
2040,534962.995413,2901892.9701
