year,Base case cost,Modeled transmission and interties
2021,1119102.50519,1995824.16154
2022,1168850.30575,2043993.2498
2023,1207735.07365,2080651.33474
2024,1244499.84189,2113777.09945
2025,1285142.93723,2151313.49865
2026,1330928.06816,2196492.30445
2027,1373491.02832,2238488.22358
2028,1417896.65846,2281626.63543
2029,1462997.04236,2327105.37036
2030,1501630.21219,2364174.07834
2031,1555299.22588,2417498.19641
2032,1606184.9359,2471900.20273
2033,1659696.7008,2525347.08971
2034,1715978.90355,2584186.28517
2035,1763092.07203,2634278.82224
2036,1826310.37617,2699266.39918
2037,1871529.41144,2747456.04498
2038,1932611.99104,2812716.98362
2039,1989340.20855,2874003.92959
2040,2059244.44554,2949596.9605
