year,Base case cost,Modeled residential ashp
2017,76814.6815872,375087.680747
2018,82880.4219938,365818.201374
2019,92019.1266725,356303.973755
2020,96754.0710004,348741.014526
2021,102100.626283,343571.011001
2022,106248.066734,338172.880688
2023,109119.392251,332465.766431
2024,112651.029949,327844.723092
2025,115604.759085,322530.247072
2026,119619.236991,318157.403454
2027,122660.773263,313226.59784
2028,126386.937538,309391.973588
2029,130367.355268,305682.206573
2030,133985.161021,302283.570184
2031,137623.011339,297962.717036
