year,Base case cost,Modeled residential ashp
2017,140040.23936,129009.42449
2018,152779.738072,138550.926591
2019,170614.436785,152238.775044
2020,179113.874209,158382.305553
2021,185062.212922,162475.744288
2022,194324.064421,170222.104313
2023,197815.243133,172375.611197
2024,200434.881846,173835.007961
2025,203490.500558,175665.649378
2026,207417.99927,178222.468868
2027,210473.917983,180084.022905
2028,213098.975408,181610.080855
2029,217032.032833,184216.77834
2030,224873.963044,191068.814173
2031,228903.701756,193800.034966
