year,Base case cost,Modeled residential ashp
2017,35226.2696009,94591.3733342
2018,37540.5894425,88602.5607833
2019,41861.7575243,82853.2501903
2020,43382.9063095,78061.9367604
2021,44441.0967688,73871.2641462
2022,46500.2235575,71318.2869057
2023,47044.1207187,67885.2015259
2024,47520.0307347,64592.4877296
2025,48063.9278959,61291.1160526
2026,50070.3412591,59232.3693698
2027,50698.8777383,55999.5281396
2028,51187.7394444,52971.0608585
2029,51816.2759237,49858.0127135
2030,52165.4628567,47090.2982002
2031,52933.6741091,43947.72625
