year,Base case cost,Modeled residential ashp
2017,302992.652266,358886.580278
2018,327815.487149,380768.958338
2019,361113.472143,409909.745754
2020,380448.936951,427420.09943
2021,396925.701136,442578.727798
2022,411706.015515,456345.091548
2023,424669.212165,468598.522758
2024,437111.617369,480432.557585
2025,449714.913133,492427.482971
2026,463949.723844,505851.133179
2027,477650.335561,518841.979457
2028,482142.654003,522725.927521
2029,496111.416654,535984.924732
2030,508716.815291,548083.348054
2031,523823.116535,562378.488796
