year,Base case cost,Modeled transmission and interties
2021,457918.861604,1843633.00365
2022,473331.40867,1858119.14999
2023,485459.030723,1869829.30779
2024,495774.985939,1879695.07055
2025,506759.88851,1890217.05621
2026,519937.364412,1903009.64492
2027,532475.798841,1915113.27682
2028,543131.736713,1925302.75637
2029,555871.642345,1937599.08298
2030,565960.942457,1947164.97003
2031,579635.800393,1960436.20834
2032,594804.378423,1974571.06234
2033,608687.003538,1988040.71187
2034,624075.940697,2002380.90266
2035,633223.99253,2011678.86734
2036,648800.234949,2026871.0658
2037,660221.133796,2037109.40835
2038,676005.143394,2052500.01803
2039,689031.515894,2065051.73874
2040,704259.905688,2079897.28651
