year,Base case cost,Modeled transmission and interties
2021,321129.927488,1649495.5722
2022,327832.8292,1636799.56527
2023,332707.666809,1622455.1164
2024,336363.795016,1607634.16021
2025,340629.277924,1594062.22448
2026,346113.470234,1581904.98548
2027,351467.145916,1569794.66456
2028,355128.262019,1556678.99565
2029,361111.243989,1545920.50389
2030,364661.795051,1533416.94108
2031,370671.379136,1523863.06262
2032,376185.498826,1514373.34365
2033,381699.618516,1505103.14728
2034,386688.34643,1496020.70631
2035,390359.438327,1485499.98544
2036,397016.617653,1478344.96673
2037,400692.697447,1468413.14328
2038,406757.97971,1461758.35949
2039,411609.540468,1453950.65408
2040,418367.309043,1448097.17256
