year,Base case diesel consumed,Modeled transmission and interties
2021,87235.2869712,0.0
2022,88123.9316602,0.0
2023,89012.5763492,0.0
2024,89901.2210382,0.0
2025,90789.8657272,0.0
2026,91678.5104162,0.0
2027,92493.1013811,0.0
2028,93307.6923461,0.0
2029,94196.3370351,0.0
2030,95010.928,0.0
2031,95825.5189649,0.0
2032,96640.1099299,0.0
2033,97380.6471707,0.0
2034,98121.1844115,0.0
2035,98935.7753765,0.0
2036,99676.3126173,0.0
2037,100416.849858,0.0
2038,101157.387099,0.0
2039,101823.870616,0.0
2040,102564.407857,0.0
