year,Base case cost,Modeled residential ashp
2017,791176.016626,1018919.85405
2018,849567.163733,1068507.7625
2019,926519.82084,1135331.20023
2020,972822.853989,1174601.6387
2021,1002110.89094,1197868.89576
2022,1026694.06805,1216920.14811
2023,1051188.6412,1236499.4947
2024,1069501.21815,1249990.69305
2025,1087964.64526,1263724.38999
2026,1110009.17237,1280868.38841
2027,1137214.72537,1303390.96489
2028,1154452.40217,1316291.31838
2029,1175346.03928,1332670.68696
2030,1191088.85623,1344371.08396
2031,1214062.09334,1362860.79555
