year,annotation,diesel generation efficiency
2002,,13.54
2003,,13.42
2004,,13.59
2005,,13.53
2006,,13.8
2007,,13.56
2008,,13.86
2009,,13.87
2010,,13.83
2011,,12.98
2012,,12.83
2013,,14.7
2014,start of forecast,13.5
2015,,13.5
2016,,13.5
2017,,13.5
2018,,13.5
2019,,13.5
2020,,13.5
2021,,13.5
2022,,13.5
2023,,13.5
2024,,13.5
2025,,13.5
2026,,13.5
2027,,13.5
2028,,13.5
2029,,13.5
2030,,13.5
2031,,13.5
2032,,13.5
2033,,13.5
2034,,13.5
2035,,13.5
2036,,13.5
2037,,13.5
2038,,13.5
2039,,13.5
2040,,13.5
