year,Base case cost,Modeled water and wastewater efficiency
2017,-33132.9167896,-6544.22290573
2018,-26451.7334365,-2286.24009424
2019,-17641.2249935,3499.00009012
2020,-13691.5785985,5836.17187832
2021,-10956.9665551,7319.76141907
2022,-8829.57403868,8382.18138848
2023,-7309.72375684,9022.90644346
2024,-6397.50861092,9241.60596799
2025,-4877.6439785,9902.90834703
2026,-3357.94824039,10573.9778859
2027,-1838.44927304,11254.5663549
2028,-622.924195109,11728.2718597
2029,896.238519802,12427.5354211
2030,1807.58139973,12703.1981469
2031,3629.44682904,13635.6036514
