year,Base case diesel consumed,Modeled solar power (pv)
2016,303376.183925,298723.619236
2017,304311.641798,299696.297626
2018,305031.224777,300452.803359
2019,305462.974564,300921.180517
2020,305750.807756,301245.348061
2021,305966.68265,301497.266633
2022,305894.724352,301461.063663
2023,305606.89116,301208.699757
2024,305175.141373,300812.135501
2025,304671.433288,300343.331462
2026,304167.725202,299874.248192
2027,303520.100521,299260.971327
2028,302872.47584,298647.419679
2029,301721.143074,297529.887362
2030,300497.85201,296340.126344
2031,299346.519243,295222.055383
2032,298411.061371,294319.593221
2033,297475.603498,293416.867093
2034,296468.187327,292441.920814
2035,295316.854561,291322.79818
