year,Base case cost,Modeled non-residential ashp
2017,565524.22217,542499.298669
2018,615691.693492,585462.253383
2019,681821.542052,644607.536884
2020,711465.956924,667326.930835
2021,731989.013373,681062.148625
2022,747951.390612,690383.614038
2023,759353.08864,695287.564827
2024,766194.107456,695770.326883
2025,777595.805484,700976.864999
2026,788997.503511,706329.398857
2027,800399.201539,711824.506746
2028,809520.559961,715171.708865
2029,820922.257989,720942.018299
2030,827763.276805,722270.833752
2031,841445.314438,730590.73406
