year,Base case cost,"Jade creek, east fork"
2021,482099.086927,937942.3043
2022,493160.633855,947147.332413
2023,501456.79405,954051.103498
2024,507909.363091,959420.703231
2025,515283.72771,965557.38864
2026,524501.683483,973228.245401
2027,532378.860516,979713.033323
2028,538402.298013,984653.501512
2029,546685.410291,991544.224679
2030,552207.485142,996138.040123
2031,561410.943228,1003794.3992
2032,570164.973008,1011001.32996
2033,579361.18225,1018650.44019
2034,589012.361538,1026599.81057
2035,594974.908749,1031479.38847
2036,605074.79146,1039877.46227
2037,610583.818392,1044458.2298
2038,620193.679273,1052366.28176
2039,627533.249441,1058468.17272
2040,638038.085177,1067116.48964
2041,638038.085177,1067116.48964
2042,637533.56566,1066611.97013
2043,637029.046142,1066107.45061
2044,637029.046142,1066107.45061
2045,636524.526625,1065602.93109
2046,636524.526625,1065602.93109
2047,636524.526625,1065602.93109
2048,636020.007107,1065098.41157
2049,636020.007107,1065098.41157
2050,635515.48759,1064593.89206
