year,Base case cost,Modeled residential ashp
2017,147565.27026,343028.294903
2018,161387.226171,352404.832546
2019,180328.425012,366494.83522
2020,190054.986579,372305.618739
2021,196198.078095,374939.081986
2022,201317.321025,376713.387662
2023,204388.866783,376698.998782
2024,207460.412541,376750.191889
2025,210531.958299,376865.429898
2026,214627.352643,377971.137005
2027,218210.822695,378673.959481
2028,221282.368453,378972.465802
2029,224865.838504,379793.183235
2030,227425.459969,379742.858733
2031,231520.854313,381139.9722
