year,Base case cost,Modeled non-residential ashp
2017,6669865.46776,7648822.65655
2018,7129434.62868,8061995.87632
2019,7737522.6714,8606289.49997
2020,8072598.5295,8912367.89485
2021,8343568.84501,9162073.404
2022,8570887.69567,9373926.94095
2023,8745551.34881,9538924.77302
2024,8929339.86901,9713047.47214
2025,9107570.25711,9881612.03917
2026,9320841.69359,10081351.3261
2027,9495317.50613,10246161.3176
2028,9679079.69826,10420257.6887
2029,9897252.7516,10626831.7567
2030,10075270.7839,10797117.1322
2031,10299578.9097,11007893.1085
