year,Base case cost,Modeled non-residential ashp
2017,2396904.48732,2421664.10077
2018,2684031.64242,2613974.67888
2019,3078831.48069,2882988.5556
2020,3267258.67622,3005768.40932
2021,3392876.80658,3084219.37784
2022,3500549.48974,3150182.71569
2023,3563358.55492,3184544.16223
2024,3626167.6201,3219145.25143
2025,3688976.68528,3253980.36664
2026,3769731.19765,3301782.937
2027,3841512.98643,3343439.23495
2028,3904322.0516,3378944.02956
2029,3985076.56398,3427400.58369
2030,4029940.18196,3450587.16643
2031,4119667.41793,3505824.01973
