year,Base case cost,Modeled residential ashp
2017,265745.438207,285950.768658
2018,282989.918207,301742.933133
2019,306505.118207,323496.792538
2020,316956.318207,332871.046688
2021,324272.158207,339283.737789
2022,330020.318207,344221.676558
2023,333678.238207,347188.871015
2024,336813.598207,349672.145615
2025,333473.921557,345665.032383
2026,337568.481557,349076.534936
2027,341151.221557,352014.048435
2028,344222.141557,354477.315698
2029,355625.758207,365230.029445
2030,358238.558207,367282.719048
2031,362419.038207,370832.496099
