year,Base case cost,Modeled transmission and interties
2021,288025.579476,1574986.28707
2022,299979.115371,1571780.69663
2023,307841.458927,1565245.1135
2024,316620.491696,1558741.89267
2025,327196.326763,1556021.33362
2026,338614.936783,1554292.23559
2027,349302.024239,1552225.05383
2028,358887.255834,1549608.62201
2029,370519.988604,1548410.07204
2030,379136.714804,1545496.1537
2031,391390.479751,1546787.87863
2032,404143.356448,1550062.59084
2033,418077.337284,1553106.23643
2034,433536.847467,1560829.02331
2035,445232.064456,1562329.64824
2036,458801.808016,1568076.3459
2037,470829.25817,1570647.55545
2038,485121.380261,1578025.69765
2039,501044.188067,1587286.43856
2040,519405.40442,1600583.34361
