year,annotation,consumption,consumption residential,consumption non-residential
2003,,994696.0,444467.0,550229.0
2004,,1191065.0,483141.0,707924.0
2005,,1294702.0,492671.0,802031.0
2006,,1691490.0,529011.0,1162479.0
2007,,1739763.0,578771.0,1160992.0
2008,,1667175.0,586774.0,1080401.0
2009,,1673277.0,583852.0,1089425.0
2010,,1704749.0,570677.0,1134072.0
2011,,1870735.0,596848.0,1273887.0
2012,,1785606.0,692879.0,1092727.0
2013,,1712089.0,633403.0,1078686.0
2014,start of forecast,1818608.0,670175.0,1148433.0
2015,,1844459.0,696026.0,1148433.0
2016,,1877039.0,728605.0,1148433.0
2017,,1907989.0,759556.0,1148433.0
2018,,1940074.0,791640.0,1148433.0
2019,,1971708.0,823275.0,1148433.0
2020,,2001999.0,853566.0,1148433.0
2021,,2051419.0,902985.0,1148433.0
2022,,2083853.0,935419.0,1148433.0
2023,,2113035.0,964602.0,1148433.0
2024,,2142364.0,993930.0,1148433.0
2025,,2172135.0,1023702.0,1148433.0
2026,,2204143.0,1055710.0,1148433.0
2027,,2235306.0,1086872.0,1148433.0
2028,,2272841.0,1124408.0,1148433.0
2029,,2305483.0,1157050.0,1148433.0
2030,,2338336.0,1189903.0,1148433.0
2031,,2371069.0,1222636.0,1148433.0
2032,,2403959.0,1255526.0,1148433.0
2033,,2433478.0,1285045.0,1148433.0
2034,,2466691.0,1318258.0,1148433.0
2035,,2506601.0,1358168.0,1148433.0
2036,,2541375.0,1392941.0,1148433.0
2037,,2576440.0,1428006.0,1148433.0
2038,,2610507.0,1462074.0,1148433.0
2039,,2648860.0,1500427.0,1148433.0
2040,,2687014.0,1538581.0,1148433.0
