year,Base case cost,Modeled residential ashp
2017,11682.6575403,47764.851025
2018,12446.256787,41492.130978
2019,14253.5199678,34057.0295205
2020,15136.1368701,29824.7449619
2021,15724.5481383,26630.5409416
2022,15403.4652508,23113.2682154
2023,15723.4272873,20822.8207911
2024,15151.5150836,18039.349349
2025,15455.2041462,15784.514089
2026,15796.8543417,13406.3741266
2027,15237.8066299,10338.2836966
2028,15453.3686964,8441.27749098
2029,14883.4631958,5223.21856348
2030,15052.9276426,3512.49809833
2031,15391.8565361,1061.97675391
