year,Base case cost,Modeled transmission and interties
2021,703985.194386,2289984.21936
2022,721408.245613,2281273.47446
2023,734740.871606,2269222.49897
2024,746018.892501,2253830.844
2025,757268.735956,2240930.96549
2026,771924.918985,2231885.50516
2027,785117.440478,2221956.57355
2028,795956.362912,2208366.60383
2029,808449.144612,2200766.83965
2030,815605.432005,2184712.13766
2031,828992.847468,2177072.69673
2032,843607.547042,2171058.62781
2033,860158.663001,2165467.98179
2034,876653.424077,2162199.23287
2035,885170.838428,2151699.97295
2036,900851.584533,2148557.67928
2037,909286.031973,2138846.76522
2038,925198.459262,2136764.85061
2039,937484.606392,2129698.02543
2040,954851.302737,2129839.89803
