year,Base case cost,Modeled water and wastewater efficiency
2017,55556.8871756,45601.3307032
2018,60142.8672086,48639.0294922
2019,66649.8044132,53013.5450527
2020,69733.3673513,55015.0392511
2021,71851.1492266,56349.3524925
2022,73540.433467,57389.3976611
2023,74586.6194032,57986.1199469
2024,75525.2535618,58511.2111637
2025,76675.0099548,59185.788449
2026,78034.3535837,60008.7020667
2027,79069.3759107,60609.2697996
2028,79993.4354287,61135.5269059
2029,81241.2257192,61889.2441998
2030,82058.1314264,62346.4484504
2031,83401.616877,63171.6848083
