year,Base case cost,Modeled transmission and interties
2021,907018.445021,1743705.30664
2022,939140.195756,1748744.22539
2023,959149.833731,1747086.41012
2024,977577.145057,1742113.96764
2025,999590.865447,1741475.84749
2026,1025944.66057,1743808.97846
2027,1046425.06114,1744048.51151
2028,1065363.97409,1742865.25438
2029,1089858.47972,1744273.56616
2030,1106485.16123,1741446.08218
2031,1133022.36071,1745696.60526
2032,1162012.8719,1752731.87747
2033,1189529.46549,1760261.62578
2034,1220637.66584,1768235.29741
2035,1239890.66803,1767692.76773
2036,1269129.92602,1778083.36751
2037,1288474.25912,1778202.33056
2038,1319820.81088,1787537.17813
2039,1343750.25288,1794833.56889
2040,1377231.57194,1806952.48417
