year,Base case cost,Modeled non-residential ashp
2017,382690.354128,448576.832353
2018,425887.178605,485312.829231
2019,487166.394724,537991.797563
2020,516299.136813,562410.233273
2021,536390.683082,578900.739408
2022,552463.920097,591882.926423
2023,562509.693231,599588.028228
2024,571550.889052,606435.686307
2025,582601.239499,615077.445041
2026,595660.744574,625512.69532
2027,605706.517708,633320.562141
2028,614747.713529,640268.576682
2029,626802.64129,649892.395805
2030,634839.259797,656003.073289
2031,647898.764872,666556.572451
