year,Base case cost,Modeled residential ashp
2017,170134.118974,255091.453154
2018,189338.296962,264865.688611
2019,216581.433177,279521.567006
2020,229533.088099,285614.353875
2021,238465.263907,289327.216597
2022,239584.408453,285976.997964
2023,243940.911251,286968.640561
2024,247861.76377,287739.574185
2025,252653.916848,289062.676404
2026,251819.558429,284439.283544
2027,256066.476121,285465.020263
2028,259888.702044,286277.639039
2029,258147.477391,281026.65297
2030,261457.34346,281569.965006
2031,259768.221215,276257.136062
