year,Base case cost,Modeled residential ashp
2017,1334189.5084,2324824.1448
2018,1431233.55802,2401866.24619
2019,1553456.91802,2502979.30887
2020,1612022.27802,2543860.86823
2021,1650217.07802,2565702.49549
2022,1680772.91802,2580613.65441
2023,1701143.47802,2586162.84842
2024,1716421.39802,2587189.34357
2025,1736791.95802,2593379.63911
2026,1759708.83802,2602302.78588
2027,1787230.97843,2616256.06382
2028,1805126.82843,2621000.84236
2029,1828135.77843,2630901.21358
2030,1840918.52843,2631347.89411
2031,1866484.02843,2644238.08756
